run_id,version,artifact_version,suite,case_id,is_multiturn,case_failure_type,observed_mismatch,expected_tool,actual_tool,passed,routing_correct,args_correct,failures
v2_B_base_openrouter_20260729T112318663989,v2,v2+pf16023d1c6b4+t3bc0a3ca704c,base,R01_user_tweets_routing,False,wrong_tool,missing_tool_call,timeline,social_search,False,False,False,missing tool call timeline; extra tool call social_search
v2_B_base_openrouter_20260729T112318663989,v2,v2+pf16023d1c6b4+t3bc0a3ca704c,base,R02_search_tweets_routing,False,wrong_tool,,social_search,social_search,True,True,True,
v2_B_base_openrouter_20260729T112318663989,v2,v2+pf16023d1c6b4+t3bc0a3ca704c,base,R03_web_news_routing,False,wrong_tool,,lookup,lookup,True,True,True,
v2_B_base_openrouter_20260729T112318663989,v2,v2+pf16023d1c6b4+t3bc0a3ca704c,base,R04_read_url_routing,False,wrong_tool,,fetch,fetch,True,True,True,
v2_B_base_openrouter_20260729T112318663989,v2,v2+pf16023d1c6b4+t3bc0a3ca704c,base,R05_limit_arg,False,wrong_arg_value,,timeline,timeline,True,True,True,
v2_B_base_openrouter_20260729T112318663989,v2,v2+pf16023d1c6b4+t3bc0a3ca704c,base,R06_timeframe_arg,False,wrong_arg_value,,lookup,lookup,True,True,True,
v2_B_base_openrouter_20260729T112318663989,v2,v2+pf16023d1c6b4+t3bc0a3ca704c,base,R07_search_type_arg,False,wrong_arg_value,,social_search,social_search,True,True,True,
v2_B_base_openrouter_20260729T112318663989,v2,v2+pf16023d1c6b4+t3bc0a3ca704c,base,R08_out_of_scope,False,out_of_scope,,no_tool,,True,True,True,
v2_B_base_openrouter_20260729T112318663989,v2,v2+pf16023d1c6b4+t3bc0a3ca704c,base,R09_no_tool_capability,False,unnecessary_tool,,no_tool,,True,True,True,
v2_B_base_openrouter_20260729T112318663989,v2,v2+pf16023d1c6b4+t3bc0a3ca704c,base,R10_missing_handle,False,missing_info,,clarify,clarify,True,True,True,
v2_B_base_openrouter_20260729T112318663989,v2,v2+pf16023d1c6b4+t3bc0a3ca704c,base,R11_missing_url,False,missing_info,,clarify,clarify,True,True,True,
v2_B_base_openrouter_20260729T112318663989,v2,v2+pf16023d1c6b4+t3bc0a3ca704c,base,R12_confirm_before_send,False,wrong_boundary,wrong_arg_value,clarify,clarify,False,True,False,"response_type: expected 'yes_no', got 'text'"
v2_B_base_openrouter_20260729T112318663989,v2,v2+pf16023d1c6b4+t3bc0a3ca704c,base,R13_parallel_web_and_tweets,False,wrong_tool,wrong_arg_value,lookup|social_search,lookup|social_search,False,True,False,"query: expected 'AI', got 'tin AI'"
v2_B_base_openrouter_20260729T112318663989,v2,v2+pf16023d1c6b4+t3bc0a3ca704c,base,R14_out_of_scope_coding,False,out_of_scope,,no_tool,,True,True,True,
v2_B_base_openrouter_20260729T112318663989,v2,v2+pf16023d1c6b4+t3bc0a3ca704c,base,M01_clarify_then_fill,True,missing_info,,timeline,timeline,True,True,True,
v2_B_base_openrouter_20260729T112318663989,v2,v2+pf16023d1c6b4+t3bc0a3ca704c,base,M02_carryover_timeframe,True,wrong_arg_value,,lookup,lookup,True,True,True,
v2_B_base_openrouter_20260729T112318663989,v2,v2+pf16023d1c6b4+t3bc0a3ca704c,base,M03_correction_handle,True,wrong_arg_value,,timeline,timeline,True,True,True,
v2_B_base_openrouter_20260729T112318663989,v2,v2+pf16023d1c6b4+t3bc0a3ca704c,base,M04_clarify_then_url,True,missing_info,,fetch,fetch,True,True,True,
v2_B_base_openrouter_20260729T112318663989,v2,v2+pf16023d1c6b4+t3bc0a3ca704c,base,M05_correction_limit,True,wrong_arg_value,,timeline,timeline,True,True,True,
v2_B_base_openrouter_20260729T112318663989,v2,v2+pf16023d1c6b4+t3bc0a3ca704c,base,M06_switch_tool,True,wrong_tool,,lookup,lookup,True,True,True,
